"ORGANIZATION_ID","ORGANIZATION_NAME","ORG_ID","DEPLOYMENT_ID","NAME","DESCRIPTION","CATEGORY","CHAR_SET","DATA_CENTER","DEPLOYMENT_DATE","EXPIRATION_DATE","TYPE","FOLDER_ID","FOLDER_NAME","MESSAGE_ID","MESSAGE_NAME","EMAIL_SETTINGS_ID","HTML_CONTENT_ID","MOBILE_CONTENT_ID","SUBJECT_CONTENT_ID","SUBJECT","TEXT_CONTENT_ID","WORKFLOW_DEP_ID","WORKFLOW_DEP_INST_ID","IS_WINNER","LIST_COUNT","LIMIT_EMAILDELIVERY_RATE","EMAIL_DELIVERY_RATE","DELIVERY_STATUS","CREATED_BY","CREATED_DATE","MODIFIED_BY","MODIFIED_DATE","AGGREGATION_VERSION","CHANNEL_TYPE","IS_ABSPLIT_CONFIGURED","IS_EXPEDITED_DELIVERY","VISUAL_HTML_CONTENT_ID","ORG_ID_1","MESSAGE_ID_1","DEPLOYMENT_ID_1","LIST_ID","INJECTED_CNT","SMTP_DELIVERED_CNT","SMTP_REPLY_CNT","SMTP_ABUSE_CNT","HTTP_OPTIN_CNT","HTTP_OPTOUT_CNT","HTTP_WEBEVENT_CNT","UNIQUE_CLICKER_CNT","UNIQUE_RESPONDER_CNT","CREATED_BY_1","CREATED_DATE_1","MODIFIED_BY_1","MODIFIED_DATE_1","SMTP_OPTOUT_REPLY_CNT","SMTP_OPTOUT_LIST_CNT","HTTP_OPTOUT_REDIRECT_CNT"
"56917dc0-6cf3-4dfe-9e42-f39bd2ed1468","AutomationUI","56917dc0-6cf3-4dfe-9e42-f39bd2ed1468","8ba03dc2-de79-47f3-a4cf-90ec3e9a5101","ProofEmailMessage","dCorwDN4645228","LEGAL","UTF_8","Irving",11-FEB-13 10.40.08.288000000 PM,,"PROOF","f7f18bb6-c69d-40fe-a34c-572764c8ec33","TestMessageFolder","aea99c17-ecec-44b3-b4f4-f1023c8b8168","ProofEmailMessage","a60c116a-f134-4c21-b5c6-a2e7ec28ed1c","8a219dec-d75f-4263-bd8c-17fe3b268c3d","","a9553377-91e5-43ee-8ea7-3fd1874d0984","UISubject_IZGZjZr7297574","","","",0,0,0,0,"","Anonymous",11-FEB-13 10.40.08.460000000 PM,"Anonymous",11-FEB-13 10.40.08.460000000 PM,"","",0,0,"","56917dc0-6cf3-4dfe-9e42-f39bd2ed1468","aea99c17-ecec-44b3-b4f4-f1023c8b8168","8ba03dc2-de79-47f3-a4cf-90ec3e9a5101","0000000000000000",0,1,0,0,0,0,0,0,0,"SysUser",11-FEB-13 10.38.06.000000000 PM,"SysUser",11-FEB-13 10.38.06.000000000 PM,0,0,0
"56917dc0-6cf3-4dfe-9e42-f39bd2ed1468","AutomationUI","56917dc0-6cf3-4dfe-9e42-f39bd2ed1468","aa383bad-6457-4f6c-8e76-9fa600c8b7c1","ProofEmailMessage","dCorwDN4645228","LEGAL","UTF_8","Irving",12-FEB-13 05.24.13.024000000 PM,,"PROOF","f7f18bb6-c69d-40fe-a34c-572764c8ec33","TestMessageFolder","aea99c17-ecec-44b3-b4f4-f1023c8b8168","ProofEmailMessage","a60c116a-f134-4c21-b5c6-a2e7ec28ed1c","2a065415-7a67-44f2-a8da-aae9f8a9a14a","","4bd175cb-c88f-443d-b47d-a477c2085a0f","UISubject_IZGZjZr7297574","","","",0,0,0,0,"","Anonymous",12-FEB-13 05.24.13.227000000 PM,"Anonymous",12-FEB-13 05.24.13.227000000 PM,"","",0,0,"","56917dc0-6cf3-4dfe-9e42-f39bd2ed1468","aea99c17-ecec-44b3-b4f4-f1023c8b8168","aa383bad-6457-4f6c-8e76-9fa600c8b7c1","0000000000000000",0,1,0,0,0,0,0,0,0,"SysUser",12-FEB-13 05.22.12.000000000 PM,"SysUser",12-FEB-13 05.22.12.000000000 PM,0,0,0
"b777a9a1-aed0-49cd-8b0a-258ab8164d9d","ChildReportTest_london","b777a9a1-aed0-49cd-8b0a-258ab8164d9d","2fe9eb7b-9199-49d5-8754-3dbb7ea92086","Snippethtmltesting2","","WELCOME","UTF_8","Irving",12-FEB-13 05.00.00.000000000 AM,12-FEB-13 09.15.00.000000000 PM,"RTM","a1c440b9-c199-484b-876b-6db28945c01e","SummaryReportFolder","5bf7ed82-5520-4f71-820a-6516727b4d88","Snippethtmltesting2","ac4b79b2-1f43-4d12-9444-15522c289e4b","b396d6f8-3483-463d-8edb-3246ca53ad3f","","03f12d45-3b80-48f4-a5ed-e30c3261cf31","Snippethtmltesting","","","",0,0,0,0,"","Anonymous",12-FEB-13 09.11.33.964000000 PM,"Anonymous",12-FEB-13 09.11.33.964000000 PM,"","",0,0,"","b777a9a1-aed0-49cd-8b0a-258ab8164d9d","5bf7ed82-5520-4f71-820a-6516727b4d88","2fe9eb7b-9199-49d5-8754-3dbb7ea92086","0000000000000000",0,1,0,0,0,0,0,1,1,"SysUser",12-FEB-13 09.10.07.000000000 PM,"SysUser",12-FEB-13 09.12.05.189000000 PM,0,0,0
"b777a9a1-aed0-49cd-8b0a-258ab8164d9d","ChildReportTest_london","b777a9a1-aed0-49cd-8b0a-258ab8164d9d","9e741b07-bc2c-4b94-907f-7a2d5798018c","leena_common_snippet","leena_common_snippet comments hhh","NEWSLETTER","UTF_8","Irving",12-FEB-13 05.00.00.000000000 AM,12-FEB-13 09.15.00.000000000 PM,"RTM","a1c440b9-c199-484b-876b-6db28945c01e","SummaryReportFolder","c9c3318f-0fd6-4096-b59f-68e8703458c1","leena_common_snippet","ac4b79b2-1f43-4d12-9444-15522c289e4b","10377186-a207-4744-aa8b-ddb599a80d58","","88a42f6f-b9ea-4403-806b-2719399805f6","leena_common_snippet comments","","","",0,0,0,0,"","Anonymous",12-FEB-13 09.11.33.875000000 PM,"Anonymous",12-FEB-13 09.11.33.875000000 PM,"","",0,0,"","b777a9a1-aed0-49cd-8b0a-258ab8164d9d","c9c3318f-0fd6-4096-b59f-68e8703458c1","9e741b07-bc2c-4b94-907f-7a2d5798018c","0000000000000000",0,2,0,0,0,0,0,2,2,"SysUser",12-FEB-13 09.10.07.000000000 PM,"SysUser",12-FEB-13 09.14.05.549000000 PM,0,0,0
"2af4d1d9-ea87-4935-8147-79ecb601a597","Leena Anand BU","2af4d1d9-ea87-4935-8147-79ecb601a597","3a91f5ad-bedf-4de1-bb09-e8b50fe94dad","leena_de2315_test_after_fix","","BIRTHDAY_ANNIVERSARY","UTF_8","Irving",08-FEB-13 02.30.23.533000000 PM,,"RTM","d79f1dd2-a2a5-4113-acd5-0a7c05982a81","CampaignReportsIntegratedTests","0391ce2c-e786-4459-bf99-ed9cabc38442","leena_de2315_test_after_fix","8b15f442-a96c-48f4-8d4e-884cec622b6b","59a1d046-2688-42d0-80b4-e23d1b0ec101","","5c048bbd-4aff-495e-97aa-435581c8d92b","leena_de2315_test_after_fix subject","48dd1121-c011-4c96-a9e0-a6232902b33f","","",0,0,0,0,"","Anonymous",08-FEB-13 02.30.25.669000000 PM,"Anonymous",08-FEB-13 02.30.25.669000000 PM,"","",0,0,"","2af4d1d9-ea87-4935-8147-79ecb601a597","0391ce2c-e786-4459-bf99-ed9cabc38442","3a91f5ad-bedf-4de1-bb09-e8b50fe94dad","0000000000000000",1,9,0,0,0,0,0,4,4,"SysUser",08-FEB-13 02.29.05.701000000 PM,"SysUser",09-JUL-13 09.11.14.664000000 PM,0,0,0
"fcaaf0fe-2170-49f7-a881-e5f7720616bb","AbhilashBU","fcaaf0fe-2170-49f7-a881-e5f7720616bb","d9c83516-e6f7-4f71-92fc-2ecc23623b91","TestHosted","","BIRTHDAY_ANNIVERSARY","UTF_8","Irving",08-FEB-13 04.15.35.538000000 PM,,"PROOF","99373c09-1ce3-432e-802a-fe0daea932e3","Message","16e51fcf-6b84-44cd-b59d-53663954cf7b","TestHosted","f3462ea0-e4e8-468b-868d-a3983c294079","f892cb01-cefb-482d-9deb-e7ba1adb1dee","","f87de9cb-8a52-4c83-92c6-ee97e30a648e","TestHosted","","","",0,0,0,0,"","Anonymous",08-FEB-13 04.15.37.130000000 PM,"Anonymous",08-FEB-13 04.15.37.130000000 PM,"","",0,0,"","fcaaf0fe-2170-49f7-a881-e5f7720616bb","16e51fcf-6b84-44cd-b59d-53663954cf7b","d9c83516-e6f7-4f71-92fc-2ecc23623b91","0000000000000000",0,1,0,0,0,0,0,0,1,"SysUser",08-FEB-13 04.14.05.203000000 PM,"SysUser",12-FEB-13 07.04.06.504000000 PM,0,0,0
"fcaaf0fe-2170-49f7-a881-e5f7720616bb","AbhilashBU","fcaaf0fe-2170-49f7-a881-e5f7720616bb","d04a6946-ec03-4b43-9d4c-07502f8cc880","TestHosted","","BIRTHDAY_ANNIVERSARY","UTF_8","Irving",08-FEB-13 04.17.54.357000000 PM,,"RTM","99373c09-1ce3-432e-802a-fe0daea932e3","Message","16e51fcf-6b84-44cd-b59d-53663954cf7b","TestHosted","f3462ea0-e4e8-468b-868d-a3983c294079","bf10bf79-d960-472b-b242-894bea1dbc1d","","cbcafb99-08ec-4120-9c50-b9f2429492fc","TestHosted","","","",0,0,0,0,"","Anonymous",08-FEB-13 04.17.56.327000000 PM,"Anonymous",08-FEB-13 04.17.56.327000000 PM,"","",0,0,"","fcaaf0fe-2170-49f7-a881-e5f7720616bb","16e51fcf-6b84-44cd-b59d-53663954cf7b","d04a6946-ec03-4b43-9d4c-07502f8cc880","0000000000000000",0,2,0,0,0,0,0,1,1,"SysUser",08-FEB-13 04.17.05.459000000 PM,"SysUser",08-FEB-13 04.26.06.367000000 PM,0,0,0
"fcaaf0fe-2170-49f7-a881-e5f7720616bb","AbhilashBU","fcaaf0fe-2170-49f7-a881-e5f7720616bb","30631051-2cc7-48e1-8a4c-f7eaa77702f7","TestHosted2","","BIRTHDAY_ANNIVERSARY","UTF_8","Irving",08-FEB-13 04.28.27.152000000 PM,,"PROOF","99373c09-1ce3-432e-802a-fe0daea932e3","Message","d4495a97-953c-4967-8ede-248a1615b91d","TestHosted2","f3462ea0-e4e8-468b-868d-a3983c294079","65da9ddc-d5eb-4205-9c49-54efa4576291","","966725b7-d2ea-4fb8-811a-a3533fa73c9e","TestHosted2","","","",0,0,0,0,"","Anonymous",08-FEB-13 04.28.31.454000000 PM,"Anonymous",08-FEB-13 04.28.31.454000000 PM,"","",0,0,"","fcaaf0fe-2170-49f7-a881-e5f7720616bb","d4495a97-953c-4967-8ede-248a1615b91d","30631051-2cc7-48e1-8a4c-f7eaa77702f7","0000000000000000",0,1,0,0,0,0,0,1,1,"SysUser",08-FEB-13 04.28.06.648000000 PM,"SysUser",08-FEB-13 04.29.06.735000000 PM,0,0,0
"fcaaf0fe-2170-49f7-a881-e5f7720616bb","AbhilashBU","fcaaf0fe-2170-49f7-a881-e5f7720616bb","b90134f4-c316-470e-850d-5d020c6efaca","TestHosted2","","BIRTHDAY_ANNIVERSARY","UTF_8","Irving",08-FEB-13 04.29.06.704000000 PM,,"RTM","99373c09-1ce3-432e-802a-fe0daea932e3","Message","d4495a97-953c-4967-8ede-248a1615b91d","TestHosted2","f3462ea0-e4e8-468b-868d-a3983c294079","7d1423b4-4d6a-4668-a77d-133b594d0d10","","31a20156-603a-4949-ba88-0515d3a87137","TestHosted2","","","",0,0,0,0,"","Anonymous",08-FEB-13 04.29.08.383000000 PM,"Anonymous",08-FEB-13 04.29.08.383000000 PM,"","",0,0,"","fcaaf0fe-2170-49f7-a881-e5f7720616bb","d4495a97-953c-4967-8ede-248a1615b91d","b90134f4-c316-470e-850d-5d020c6efaca","0000000000000000",0,1,0,0,0,0,0,1,1,"SysUser",08-FEB-13 04.28.06.648000000 PM,"SysUser",08-FEB-13 04.29.06.735000000 PM,0,0,0
"b777a9a1-aed0-49cd-8b0a-258ab8164d9d","ChildReportTest_london","b777a9a1-aed0-49cd-8b0a-258ab8164d9d","b020534b-9175-461b-8a1f-beefcd5c87bc","NewMessage2/8/2013","","WELCOME","UTF_8","Irving",08-FEB-13 06.18.57.372000000 PM,,"RTM","a1c440b9-c199-484b-876b-6db28945c01e","SummaryReportFolder","3c902f52-69f0-41ff-bebb-5b8ee0aa8af9","NewMessage2/8/2013","ac4b79b2-1f43-4d12-9444-15522c289e4b","13f5b5b6-a5db-48ab-ba42-347b58479e24","","e2c2e87f-6593-4dcf-8a17-42c821065f26","NewMessage2/8/2013","","","",0,0,0,0,"","Anonymous",08-FEB-13 06.18.58.153000000 PM,"Anonymous",08-FEB-13 06.18.58.153000000 PM,"","",0,0,"","b777a9a1-aed0-49cd-8b0a-258ab8164d9d","3c902f52-69f0-41ff-bebb-5b8ee0aa8af9","b020534b-9175-461b-8a1f-beefcd5c87bc","0000000000000000",0,1,0,0,0,0,0,0,0,"SysUser",08-FEB-13 06.18.06.332000000 PM,"SysUser",08-FEB-13 06.18.06.332000000 PM,0,0,0
